chebi_id,name,definition
class_0,chemical entity,"A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances."
class_1,molecular entity,"Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity."
class_2,main group molecular entity,"A molecular entity containing one or more atoms from any of groups 1, 2, 13, 14, 15, 16, 17, and 18 of the periodic table."
class_3,p-block molecular entity,A main group molecular entity that contains one or more atoms of a p-block element.
class_4,carbon group molecular entity,
class_5,organic molecular entity,Any molecular entity that contains carbon.
class_6,polyatomic entity,Any molecular entity consisting of more than one atom.
class_7,chalcogen molecular entity,Any p-block molecular entity containing a chalcogen.
class_8,oxygen molecular entity,
class_9,heteroorganic entity,A heteroorganic entity is an organic molecular entity in which carbon atoms or organic groups are bonded directly to one or more heteroatoms.
class_10,heteroatomic molecular entity,A molecular entity consisting of two or more chemical elements.
class_11,organochalcogen compound,An organochalcogen compound is a compound containing at least one carbon-chalcogen bond.
class_12,organooxygen compound,An organochalcogen compound containing at least one carbon-oxygen bond.
class_13,molecule,Any polyatomic entity that is an electrically neutral entity consisting of more than one atom.
class_14,organic molecule,Any molecule that consists of at least one carbon atom as part of the electrically neutral entity.
class_15,pnictogen molecular entity,A p-block molecular entity containing any pnictogen.
class_16,cyclic compound,Any molecule that consists of a series of atoms joined together to form a ring.
class_17,organic cyclic compound,Any organic molecule that consists of atoms connected in the form of a ring.
class_18,nitrogen molecular entity,
class_19,s-block molecular entity,An s-block molecular entity is a molecular entity containing one or more atoms of an s-block element.
class_20,organonitrogen compound,Any heteroorganic entity containing at least one carbon-nitrogen bond.
class_21,hydrogen molecular entity,
class_22,organic oxo compound,"Organic compounds containing an oxygen atom, =O, doubly bonded to carbon or another element."
class_23,carbonyl compound,"Any compound containing the carbonyl group, C=O. The term is commonly used in the restricted sense of aldehydes and ketones, although it actually includes carboxylic acids and derivatives."
class_24,hydroxides,Hydroxides are chemical compounds containing a hydroxy group or salts containing hydroxide (OH<small><sup>−</small></sup>).
class_25,heterocyclic compound,A cyclic compound having as ring members atoms of at least two different elements.
class_26,organic heterocyclic compound,A cyclic compound having as ring members atoms of carbon and at least of one other element.
